answer_llm,answer_orig,document,question,course
"The theory covered in this course will be the bare minimum, focusing primarily on practical application rather than extensive theoretical derivation. It will be addressed at an intuitive level, so while some theory is included, it is not the central focus of the course. For example, while we won't derive the gradient update rule for logistic regression, we will learn how to use it and interpret the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How in-depth is the theory covered in this course?,machine-learning-zoomcamp
"No, we will not derive the gradient update rule for logistic regression in this course. The focus is more on practice, and any theory covered will be on an intuitive level only.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will we learn gradient update rules for logistic regression?,machine-learning-zoomcamp
"The focus of the course is more on practice rather than theory. While some theory will be covered, it will only be addressed at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus more on practice or theory?,machine-learning-zoomcamp
The course will not provide an intuitive understanding only; it also covers specific content such as linear algebra and primarily focuses on code rather than formulas.,"The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course provide an intuitive understanding only?,machine-learning-zoomcamp
"The course primarily focuses on practical skills and covers only the bare minimum of theory. It is suggested that if you're looking for in-depth theory, there are other great courses available that cover topics in more detail, such as deriving the gradient update rule for logistic regression.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Are there other recommended courses for in-depth theory?,machine-learning-zoomcamp
"Yes, you can take the course without knowing math. The course will cover some linear algebra, but in general, there will be very few formulas, mostly focusing on code. If you need help, you can always ask the community for assistance.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I take the course without knowing math?,machine-learning-zoomcamp
"Yes, linear algebra is covered in the course. While there will be very few formulas, mostly code will be used for instruction.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is linear algebra covered in the course?,machine-learning-zoomcamp
"Yes, there are resources for learning linear algebra. You can watch the following videos: ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" from Alexey Grigorev and the excellent playlist from 3Blue1Brown titled ""Vectors | Chapter 1, Essence of Linear Algebra.""","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any resources for learning linear algebra?,machine-learning-zoomcamp
"The course content involves very few formulas; mostly, it will be focused on code. Some linear algebra will be covered, but it will not be a significant part of the course.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,How much of the course content involves formulas?,machine-learning-zoomcamp
"Yes, you can always ask questions in Slack.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I ask the community if I have questions?,machine-learning-zoomcamp
"If you filled the form but haven't received a confirmation email, it's not a problem. The process is automated, so you should receive the email eventually. If you haven't, check your promotions tab in Gmail as well as your spam folder. Additionally, if you unsubscribed from the newsletter, you won't receive course-related updates. To make sure you don’t miss anything, consider joining the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,I filled the form but haven't received a confirmation email. Is it a problem?,machine-learning-zoomcamp
"Yes, you should check your promotions tab if you haven't received a confirmation email. It is advised to look there as well as in your spam folder.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Should I check my promotions tab if I haven't received a confirmation email?,machine-learning-zoomcamp
"If you unsubscribed from our newsletter, you won't receive course-related updates either. To ensure you don't miss any information, it's recommended to join the #course-ml-zoomcamp channel in Slack and our telegram channel for announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,"If I unsubscribed from your newsletter, will I still get course-related updates?",machine-learning-zoomcamp
"If you haven't received your confirmation email after filling out the form, it is normal as the process is automated. You should eventually receive the email. In the meantime, check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from the newsletter, note that you won't receive course-related updates. To ensure you don’t miss any important announcements, join the #course-ml-zoomcamp channel in Slack and our Telegram channel for updates.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received my confirmation email despite filling the form?,machine-learning-zoomcamp
"If you haven't received the confirmation email, don’t worry, it's normal. The process is automated, and you should receive the email eventually. In the meantime, check your promotions tab in Gmail and your spam folder. If you wish to stay updated about the course, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. This will ensure you don't miss any important updates related to the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay updated about the course if I don't receive the confirmation email?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months, but it may take longer if you choose to engage in extra activities such as an additional project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course lasts approximately 4 months, but it may take longer if you want to engage in extra activities such as an additional project or article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course last?,machine-learning-zoomcamp
"Yes, the course can take longer than 4 months if you want to do some extra activities, such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take longer than 4 months?,machine-learning-zoomcamp
"Based on the context provided, it does not explicitly mention the possibility of extending the course duration. However, it does state that the course is approximately 4 months long but may take more time if you choose to engage in extra activities like an extra project or an article. Therefore, while the standard duration is 4 months, you can take additional time depending on your involvement in supplementary projects.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
"Completing the course will take approximately 4 months, but it may take longer if you choose to engage in extra activities, such as an additional project or writing an article. You should also expect to spend around 10 hours per week on the course materials.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How long will it take to complete the course including extra activities?,machine-learning-zoomcamp
You should allocate around 10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours weekly should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev's analysis is about how much time students of the previous cohort needed to spend on different modules and projects in the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,What is Timur Kamaliev's analysis about?,machine-learning-zoomcamp
"You can find detailed course time analysis in the full article authored by Timur Kamaliev, which discusses how much time students from the previous cohort spent on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find detailed course time analysis?,machine-learning-zoomcamp
Past students spent around ~10 hours per week on the course modules and projects.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did past students spend on modules and projects?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time requirement for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time requirement for this course?,machine-learning-zoomcamp
"To obtain a certificate, you need to submit at least 2 out of the 3 course projects and review at least 3 peers' projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements for obtaining a certificate?,machine-learning-zoomcamp
"To get a certificate, you need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How many projects do I need to complete to get a certificate?,machine-learning-zoomcamp
"Yes, you need to review 3 peer projects to earn a certificate. In addition to reviewing the peer projects, you must also complete at least 2 out of 3 projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to review peer projects to earn a certificate?,machine-learning-zoomcamp
The certificate looks like this: [link]. There is also a version without a robot: [link].,"Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What does the certificate look like?,machine-learning-zoomcamp
"Yes, there is a version of the certificate without a robot.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there a certificate version without a robot?,machine-learning-zoomcamp
"Yes, you can still receive a certificate even if you don't complete the midterm project, as long as you finish at least 2 out of 3 projects and review 3 peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Will I still receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to finish the midterm project to earn a certificate. You only need to submit at least 2 out of 3 course projects and review 3 peers' projects by the deadline to receive a certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to finish the midterm project to earn a certificate?,machine-learning-zoomcamp
"Yes, you can obtain a certificate despite missing the midterm assignment, as long as you submit at least 2 out of 3 course projects and review 3 peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Can I obtain a certificate despite missing the midterm assignment?,machine-learning-zoomcamp
"Yes, you may still qualify for a certificate even if you miss the midterm project deadline, as long as you complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline. If you fulfill these requirements, you will receive a certificate for the course.","Yes, it's possible. See the previous answer.",1d644223,Do I qualify for a certificate even if I miss the midterm project deadline?,machine-learning-zoomcamp
"No, the midterm project is not essential for certification. You can still receive a certificate if you complete at least 2 out of 3 projects and review 3 peers' projects by the deadline, even if you miss the midterm project.","Yes, it's possible. See the previous answer.",1d644223,Is the midterm project essential for certification?,machine-learning-zoomcamp
"You need to know the basics of Python to participate in this course. Specifically, you should be familiar with how to run a Jupyter notebook, how to import libraries, how to declare a variable, and some important operations related to data analysis. If you are not confident in these areas, it is recommended to read the provided article and consider taking the ""Introduction to Python"" course before joining.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How much Python knowledge is necessary for this course?,machine-learning-zoomcamp
"You can learn Python basics for data analysis through the free course titled ""Learn Python Basics for Data Analysis"" available on the OpenClassrooms e-learning platform. This course covers essential skills such as running a Jupyter notebook, importing libraries, declaring variables, and important operations for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn Python basics for data analysis?,machine-learning-zoomcamp
"To perform important operations regarding data analysis, you should know how to run a Jupyter notebook, how to import libraries and understand what libraries are, and how to declare a variable along with understanding what variables are. These basics are crucial for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What important operations regarding data analysis should I know?,machine-learning-zoomcamp
"Yes, it seems you should be familiar with running a Jupyter notebook before starting, as the course involves using Jupyter notebooks for coding. The installation of packages, such as Xgboost, is done directly within Jupyter notebooks, indicating that knowledge of how to operate within that environment is necessary for the coursework.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Do I need to know how to run a Jupyter notebook before starting?,machine-learning-zoomcamp
"Yes, there is a free course available for learning Python basics. You can follow the ""Learn Python Basics for Data Analysis"" course from the OpenClassrooms e-learning platform, which covers the fundamentals of Python for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Is there a free course for learning Python basics available?,machine-learning-zoomcamp
"If you have questions, you can reach out during office hours by submitting your questions in advance, and they will be addressed during the live stream. Additionally, you can always ask questions in Slack.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,questions,machine-learning-zoomcamp
"If you miss a session, everything is recorded so you won’t miss anything. You can ask your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,questions,machine-learning-zoomcamp
"To join the course channel on Slack, follow these steps:

1. Click ""All channels"" at the top of your left sidebar. If you don't see this option, click ""More"" to find it.
2. Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
3. Select the course channel from the list to view it.
4. Click ""Join Channel.""

For more detailed instructions, you can refer to this link: [Join a channel](https://slack.com/help/articles/205239967-Join-a-channel).","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,How do I join the course channel on Slack?,machine-learning-zoomcamp
"You can find the option to browse all channels in Slack by clicking “All channels” at the top of your left sidebar. If you don't see this option, you can click “More” to find it. From there, you can browse the list of public channels in your workspace or use the search bar to search by channel name or description.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Where can I find the option to browse all channels in Slack?,machine-learning-zoomcamp
"To view and join a channel on Slack, follow these steps:

1. Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
2. Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
3. Select a channel from the list to view it.
4. Click “Join Channel.” 

For more detailed information, you can refer to this link: https://slack.com/help/articles/205239967-Join-a-channel.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,What steps should I follow to view and join a channel on Slack?,machine-learning-zoomcamp
"Yes, you need to submit a GitHub link for your homework. You are required to provide the URL to your repository in order to receive a grade.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Do we need to submit a GitHub link for our homework?,machine-learning-zoomcamp
"To get graded on your homework, you need to provide the URL to your GitHub repository that contains your code corresponding to the homework questions. Additionally, make sure your repository is public so that the graders can access it.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,What do I need to do with my GitHub repo to get graded?,machine-learning-zoomcamp
"Yes, you can still join the course after it has started. However, you won’t be able to submit some of the homeworks, but you can still participate in the course. To receive a certificate, you need to submit 2 out of 3 course projects and review 3 peers' projects by the deadline. If you join at the end of November and manage to work on two projects, you would still be eligible for a certificate.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,Can I still join the course after it has started?,machine-learning-zoomcamp
"Yes, if you join late, you can still earn a certificate. You need to submit at least 2 out of 3 course projects and review 3 peers’ projects by the deadline to be eligible for the certificate. For example, if you join at the end of November and complete two projects, you can still receive the certificate.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,"If I join late, can I still earn a certificate?",machine-learning-zoomcamp
"To earn a certificate, you need to submit at least 2 out of 3 course projects and review at least 3 peers’ projects by the deadline.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,What are the requirements for earning a certificate?,machine-learning-zoomcamp
"If you can't submit some of the homeworks, don't worry, as homework is not mandatory for finishing the course. However, if you try to submit late and the form is closed, it will not be possible to submit or have your homework evaluated.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,What happens if I can't submit some of the homeworks?,machine-learning-zoomcamp
You can still join the course and be eligible for a certificate as long as you submit 2 out of 3 course projects and review 3 peers' projects by the deadline. Joining at the end of November and completing the required projects would still allow you to qualify for the certificate.,"Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,When is it too late to join the course and still be eligible for a certificate?,machine-learning-zoomcamp
"The course is available in both self-paced mode and scheduled iterations. You can go through the materials at any time in self-paced mode, while the scheduled cohort iterations will happen in September 2023 and September 2024.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Is the course self-paced or scheduled?,machine-learning-zoomcamp
The next cohort will start in September 2023.,"The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,When is the next cohort starting?,machine-learning-zoomcamp
